ts	phase	decision	why	evidence	result
2026-09-09T14:05:00Z	frame	matched the run to the Feature playbook, not the multi-phase-plan playbook	the brief asks for built code and one pull request; the multi-phase playbook delivers a plan and forbids implementing	loop/items/AI4DEV-102/brief.md lines 292 to 296	Feature steps opened, run once per unit
2026-09-09T14:06:00Z	frame	the critique stage of the how skill is unavailable	upstream pstack 1.4.0 removed the critique mode and its role; the brief still asks for critics	.claude/pstack-models.md, section The how critics row is gone	explorers and explainer run, critics stage skipped
2026-09-09T14:10:00Z	frame	asked the founder how units 11, 12 and 13 handle the three missing surfaces	the checkout, the funded turn and the publish flow do not exist, and the brief made this a gate before the design arena	brief.md lines 250 to 255	founder chose split per id with no new harness machinery
2026-09-09T14:12:00Z	ground	sent three read-only explorer lanes over the harness, the database and edge functions, and the notifications emitter	the design must sit on measured facts, not on the brief's summary of them	loop/items/AI4DEV-102/how/	running
2026-09-09T14:20:00Z	frame	the brief says twenty-five ids are in the run, but its thirteen units name all twenty-seven	counted every Verify line in the units against the manifest's coverage check	brief.md units 1 to 13, loop/decomp/req-002.md line 44	the red set comes from the founder's per-id ruling, not from the brief's count
2026-09-09T15:05:00Z	ground	explorer over the harness returned complete and provider-verified	the design must know how a new suite registers and what a declared red looks like	loop/items/AI4DEV-102/how/explorer-a-harness.md	there is no time travel at the integration tier
2026-09-09T15:06:00Z	design	the daily reset must be computed at read time against a stored UTC day key	a scheduled job cannot be proven once per UTC day at integration, because no live adapter takes the harness clock	explorer-a-harness.md, section Non-Obvious Things	open, goes to the arena as a fixed direction
2026-09-09T15:20:00Z	ground	explorer over the notifications emitter and the public surfaces returned complete and provider-verified	unit 3 emits through the emitter and unit 10 sweeps public surfaces	loop/items/AI4DEV-102/how/explorer-c-notifications.md	two hard constraints found
2026-09-09T15:22:00Z	design	the vet write and its emit run in one product definer function	the emit function revokes execute from public and grants nothing to the service role, so an edge function cannot call it	explorer-c-notifications.md, section Boundaries	open, goes to the arena
2026-09-09T15:24:00Z	design	the vet record needs its own table with not-null columns, not a row on the audit table	the audit kind is a Postgres enum and its detail column is free jsonb, so nothing would stop a partial vet from committing	explorer-c-notifications.md, Non-Obvious Things item 12	open, goes to the arena
2026-09-09T15:26:00Z	design	vet and unvet stay one taxonomy event and carry the outcome in the params	the taxonomy is closed and its oracle is asserted both ways by the notifications suite, so a new event type is a spec change	explorer-c-notifications.md, Non-Obvious Things item 1 and 3	settled
2026-09-09T16:40:00Z	design	ran a four-lane design arena, one distinct structural direction per lane	the brief fixes the four lanes of the sheet and asks that the candidates not converge	loop/items/AI4DEV-102/design/	three lanes returned, one lost its work
2026-09-09T16:45:00Z	design	set the red set at five ids, not the two the brief expected	walked each id against the tree: two need the fuel checkout, two need the publish flow, one needs both the checkout and funded-turn billing	.taskmaster/docs/acceptance/at-req-002.md	twenty-two green, five red, told to the founder
2026-09-09T16:47:00Z	design	units 12 and 13 ship decision modules even though every id they carry is red	the tree already does this: the Discovery-message row of the write-route inventory is a stand-in that ships the decision a future route consults	supabase/functions/_shared/write-routes.ts lines 23 to 58	settled, no new harness machinery
2026-09-09T16:50:00Z	design	the astra lane lost its design and was re-run	the prompt told a read-only lane to write a file; the sandbox refused and its short summary took the output slot	 receipt-arena-1.json, candidate-1-vetting-aggregate.md	re-run in flight with the instruction corrected
2026-09-09T17:30:00Z	design	both external lanes lost their designs and both were re-run	the shared prompt told every lane to write its document to a file, but an external lane runs read-only and the runner then overwrites that path with the model's closing message	receipt-arena-1.json, receipt-arena-3.json, the two 3-line and 7-line files	grok had written 768 lines and they are not recoverable
2026-09-09T17:32:00Z	design	the rule for a future run: an external read-only lane returns its artifact as its reply, never as a file write	the runner reserves the output path and writes the final response there at completion, so anything the model puts at that path is destroyed	skills/poteto-mode/scripts/runner	prompt corrected on both re-runs
2026-09-09T17:35:00Z	design	two candidates in, and they disagree at the centre	one stores spend in its own table keyed by organisation and UTC day; the other puts six columns on the organisations table and adds no table at all	candidate-2-allowance-ledger.md, candidate-4-extend-existing.md	open, the judge and the lead decide
2026-09-09T17:37:00Z	design	a second candidate reached the same five red ids independently	the lead derived the set by hand from the acceptance file and the allowance candidate derived it from the tree	candidate-2-allowance-ledger.md section 5.7	corroborated, one candidate proposes a sixth red at the integration tier only
2026-09-09T18:05:00Z	pause	paused at the founder's word at the end of the design arena, before the pick	the five-hour session limit is near and the next step, judging four candidates, is not a step to start and abandon	loop/items/AI4DEV-102/resume.md, commit 012035f	four candidates on disk, none judged
2026-09-09T18:40:00Z	design	dispatched the cross-judge blinded, on four files named A to D	the judge's own family wrote one of the four candidates, and the pool has no lane that did not	loop/items/AI4DEV-102/design/blind/, judge-verdict.md	running
2026-09-09T18:45:00Z	design	found a gap the acceptance file does not decide: what an unvet does to credits already granted that day	one candidate claws them back by recomputing, another keeps them by storing the remainder, and no acceptance id names the case	.taskmaster/docs/acceptance/at-req-002.md sections B and C	open, needs a founder call if the judge does not settle it
2026-09-09T18:47:00Z	design	proposed a shape no candidate wrote: store credits spent and the highest grant applied today	it gives both properties from one number, so an unvet cannot lower the mark and a re-vet cannot raise it past thirty, with no stored boolean to remember	candidate-3b-thin-sql.md lines 278 to 291	candidate for the graft
2026-09-09T19:10:00Z	design	the judge picked the vetting-aggregate candidate as the base, and the lead agrees	it is the only candidate whose completeness rule is a schema fact rather than a guard every caller must go through	loop/items/AI4DEV-102/design/judge-verdict.md	base settled, twenty of thirty against seventeen, seventeen and twelve
2026-09-09T19:12:00Z	design	the lead was wrong about the clock and the judge was right	a transaction that starts before midnight can take its lock after midnight, so transaction-start time charges the spend to the wrong day	judge-verdict.md, shared mistakes, second item	the build takes the clock after the lock
2026-09-09T19:15:00Z	founder	the founder ruled that an unvetted organisation keeps the credits it already holds until the next UTC day	no acceptance id settles the case, and all four candidates chose silently and differently	SYNTHESIS.md graft G2	settled, and it removes the stored raise flag entirely
