ts	phase	decision	why	evidence	result
2026-09-13T08:15:00Z	frame	matched the run to the Feature playbook, one design for the subtree and one pass of the unit loop per unit	the brief asks for built code across seven units and one pull request	loop/items/AI4DEV-120/brief.md lines 216 to 243	Feature steps opened
2026-09-13T08:15:00Z	frame	the critique stage of the how skill is unavailable	upstream pstack 1.4.0 removed the critique mode and its role; the brief still asks for critics	.claude/pstack-models.md, section The how critics row is gone	explorers and explainer run, critics stage skipped
2026-09-13T08:15:00Z	frame	the writer seat changed to astra at low minutes before this run started	founder ruling in this session; every feature-lane unit of this run is the trial of that seat	commit a87e7f0	noted
2026-09-13T08:27:42Z	ground	three grok explorer lanes returned complete and provider-verified, 283, 228 and 263 lines	the design must sit on measured facts, not on the brief's summary of them	loop/items/AI4DEV-120/how/receipt-*.json	explainer on fable at low dispatched to synthesize
2026-09-13T08:34:51Z	ground	explainer returned: thirty constraints and a red set of three certain, two open	the arena needs one grounding artifact, not three explorer dumps	loop/items/AI4DEV-120/how/explanation.md	constraints fixed for every candidate
2026-09-13T08:34:51Z	design	the need cannot be a state-carrying row on the projects table	the NGO profile suite's absence oracle fails any state, status or lifecycle column on a table named like a project, and public-project makes every projects row world-readable by id	explanation.md constraint 11 and Gotcha 1	goes to the arena as a fixed fact; where the need lives is still the arena's call
2026-09-13T08:34:51Z	design	no storage primitive in this run; the upload attaches as metadata and the file bytes wait on the need attachments requirement	the document oracle fails any storage call, bytea column or document-named column in product code, and the brief says the format matrix and caps belong elsewhere	explanation.md constraint 12	AT-003.07 red at integration by shape, the arena says how loop proves attach
2026-09-13T08:34:51Z	design	the transition to discovery_in_progress is open: local stage column on the need table, or red on the missing engine	the brief tells the design to decide, and the tree permits a stage column on a table not named like a project	explanation.md, section Ids whose proof waits, and brief.md unit 6	every candidate must take a position; the pick decides
2026-09-13T08:36:26Z	design	ran a four-lane design arena, one distinct structural direction per lane: aggregate on astra at medium, need-is-the-project on fable at low, thin SQL with one route on grok at xhigh, revision log on opus at xhigh	the brief fixes the sheet's four lanes and asks that the candidates not converge	loop/items/AI4DEV-120/design/task.md and prompt-*.md	running
2026-09-13T09:00:13Z	design	four candidates in, all four complete; the lead read every one end to end, paged under the read gate	the arena skill requires the lead's own read before the pick	loop/items/AI4DEV-120/design/candidate-*.md, receipt-*.json	judge on astra at medium dispatched blinded on files A to D
2026-09-13T09:00:13Z	design	all four agree the need is not a state-carrying projects row and that the reference attach is metadata only, red at integration on storage.reference-upload	independent convergence from four models on two of the eleven decisions	candidate-1 line 182, candidate-2 line 348, candidate-3 line 282, candidate-4 line 7	settled
2026-09-13T09:00:13Z	design	the candidates split on AT-003.09 and .10: three declare them red at integration on a ui surface, one declares them green on the served copy	the harness has a surface: 'ui' tag whose comment says it selects the wiring leaf's --wired re-run, and the manifest's wiring leaf is a wired re-run of ui-tagged ids with no new AT ids	tests/at/harness/registry.ts line 69, loop/decomp/req-003.md D3 LW	lead leans green with the ui tag; founder asked at the gate before unit 4
2026-09-13T09:00:13Z	design	the lead's own scores before the judge: thin-SQL one-route candidate leads on diff size and honest green, the aggregate candidate over-reaches with command receipts and revision checks and adds the verification and capacity gates the brief assigns elsewhere, the project-row candidate edits the auth requirement's public read, the revision-log candidate exposes history and extends TenantReads	scored criterion by criterion against task.md	candidate-1 lines 436 and 539 to 540, candidate-2 line 380, candidate-4 lines 339 and 449	open until the judge returns
2026-09-13T09:06:18Z	design	the judge picked the project-row candidate as the base and the lead agrees after reading its rationale	AT-003.12 says the project state moves, so the need is the project in the domain; the thin-SQL candidate's submit resends editable content and a delayed retry overwrites edits made after submission	loop/items/AI4DEV-120/design/judge-verdict.md line 1, candidate-3 lines 364 and 590	base settled, 23 to 24 by the lead, 23 to 20 by the judge
2026-09-13T09:06:18Z	design	four grafts: the denormalised org_id with a composite foreign key instead of a policy subquery, the monotonic classification trigger and the unique snapshot index from the aggregate candidate, the acknowledgment-bearing disclosure shape from the revision-log candidate	each strengthens an invariant without widening the public surface	SYNTHESIS.md corrections 1, 3, 4, 5	written into the design of record
2026-09-13T09:06:18Z	design	the red set is three ids at integration: .07 on storage, .09 and .10 on the upload surface; the classification stub is not a proof obligation	the judge's ruling matches the AT-002.05 precedent, and the manifest sanctions the stub	SYNTHESIS.md correction 6, judge-verdict.md line 52	settled unless the founder rules otherwise before unit 4
2026-09-13T09:06:18Z	design	the aggregate candidate is disqualified by the judge on constraint 19 and the lead concurs	it reads the allowance function inside the submit definer, outside the two sanctioned surfaces, and adds the verification and capacity gates the brief assigns to the lifecycle requirement	candidate-1 line 436, explanation.md constraint 19	rejected, two grafts taken from it
