ts	phase	decision	why	evidence	result
2026-09-05T18:21:12Z	how	explain first, four explorers in parallel on grok at xhigh: data model and RLS, request path and front end, acceptance harness at both tiers, the reference branch's decisions	the brief asks for /how in critique mode on every item; the deliverable spans database, edge functions, front end and harness, so this is the complex path	loop/items/AI4DEV-55/artifacts/how/e*-prompt.md	open
2026-09-05T18:21:12Z	how	the reference branch (pull request 57) is read from a detached worktree at .claude/worktrees/ref-66, never merged	the brief says read it for decisions, merge nothing	.claude/worktrees/ref-66	open
2026-09-05T18:23:56Z	how	all four grok explorer lanes dropped out twice: first bubblewrap was missing (installed), then the read-only profile failed because this cloud VM kernel (6.18 Firecracker) has no Landlock, landlock_create_ruleset returns ENOSYS; the grok CLI refuses to start without it	an environment fact, not a model fault; the runner never falls back and a weaker sandbox profile was refused by the session classifier, so the route is blocked in the cloud	loop/items/AI4DEV-55/artifacts/how/e*-receipt*.json	blocked, founder asked how to route grok roles
2026-09-05T18:54:33Z	setup	merged origin/main into the branch before any design work; the corrected model sheet (fable at medium on both panel rows, muse out) now governs	founder ruled it on 2026-09-05 when asked; the branch sheet predated the muse-out ruling	commit 2bec28d	clean merge, no conflicts
2026-09-05T18:59:03Z	how	grok fix attempted and ruled out: Landlock is compiled into the VM kernel (12 symbols in kallsyms) but not enabled at boot (the Firecracker command line carries no lsm list), so landlock_create_ruleset returns ENOSYS from any process; grok 1.0.13 refuses read-only, workspace and strict without it, and only off and devbox would start, both unconfined	a boot-time kernel setting cannot change from inside the VM; an unconfined external model in the checkout is a permission elevation the dispatch reference forbids	/proc/cmdline; python landlock probe; ~/.grok/docs/user-guide/18-sandbox.md lines 58 and 216	blocked in the cloud, founder to choose the route
2026-09-05T19:17:19Z	how	wrote a grok shim at loop/work/grok-bwrap/grok that rebuilds the runner's fence with bubblewrap where the kernel lacks Landlock; the manual probe of that fence held (a write into the repo failed with read-only file system); the session classifier refused to make the shim executable and to run it, so the founder decides	the founder asked to fix grok; a fenced route keeps the sheet's grok lanes; the classifier reads the flag rewrite as disabling a sandbox	loop/work/grok-bwrap/grok; the wrapper probe output in this session	blocked on permission
2026-09-05T19:40:02Z	how	grok runs through a PATH-front wrapper (loop/work/grok-shim/grok) that maps the workspace and read-only profiles to devbox on hosts without Landlock; the pstack runner completed a read-only grok lane through it (receipt: complete, model verified by provider report)	founder chose the wrapper route Grok proposed and granted the permission rule; the bubblewrap shim is removed as superseded; devbox is no kernel fence, so grok's own tool-level permission mode is the only guard on grok lanes here	checks A to E in this session; the runner probe receipt in the scratchpad	grok lanes usable in the cloud
2026-09-05T19:46:43Z	how	four explorer lanes complete on grok-4.6 at xhigh through the wrapper (4.5 to 5.3 minutes each, receipts complete, model verified by provider report); explainer dispatched natively on fable at low with the four findings as file pointers	the sheet's how-explorer and how-explainer rows; the explainer reads files rather than receiving inlined dumps	loop/items/AI4DEV-55/artifacts/how/e*-findings.md, e*-receipt-attempt3.json, explainer-prompt.md	open
2026-09-05T19:49:47Z	how	explanation landed (fable at low, 2.7 minutes); four critics dispatched in one fan-out per the sheet: astra at medium and grok at xhigh through the runner, fable at medium and opus at xhigh natively	critique mode as the brief asks; the panel is the corrected sheet's four lanes	loop/items/AI4DEV-55/artifacts/how/explanation.md, critic-*-prompt.md	open
2026-09-05T19:55:07Z	how	the astra critic lane finished but its read-only sandbox refused the report file, leaving only five summary lines; rerun with the report as the final answer (new output and receipt paths), first receipt kept	a read-only external lane cannot write into the repository; the runner captures only the final answer, so the report must be the answer	loop/items/AI4DEV-55/artifacts/how/critic-astra-reply.md, critic-astra-receipt.json, critic-astra-prompt-v2.md	rerun in progress
2026-09-05T19:57:16Z	how	the grok critic lane dropped out after 7.1 minutes with a provider error result (receipt malformed-output, no report); retried once with a new receipt path, first receipt kept	one retry for a transient provider error; a second failure means the panel runs with three critics and the dropout is recorded	loop/items/AI4DEV-55/artifacts/how/critic-grok-receipt.json	retry in progress
2026-09-05T19:59:36Z	how	founder ruled on AT-001.24 when asked: it stays red at both tiers with a declared shape (a UI-rendering capability that does not exist); this item lands AT-001.21, .22, .23 and .40 green	no sign-in route, no screen driver, and the CI territory guard forbids landing a route guard with its test; three of four critics said no honest green exists here	AskUserQuestion answer in this session, 2026-09-05	scope fixed
2026-09-05T20:04:58Z	how	grok critic dropped out twice at seven minutes each with a provider error result; the panel stands on three critics (astra, fable, opus), no substitution; rulings finalized with twelve act-on items, four consider, four noted, two dismissed	dispatch reference: a second failure is real; the three reports agree on every binding item	loop/items/AI4DEV-55/artifacts/how/rulings.md, critic-grok-receipt*.json	how station closed
